Marka;Model;Yıl;Kilometre;Kasa_tipi;Motor_gücü;Çekiş;Renk;Fiyat
Opel;Mokka;2021;35.360;Crossover;130;Önden Çekiş;Yeşil;1.290.000
Hyundai;Bayon;2023;13.750;Crossover;100;Önden Çekiş;Yeşil;1.205.000
Opel;Mokka;2022;21.000;Crossover;130;Önden Çekiş;Yeşil;1.285.000
Subaru;XV;2012;94.000;Crossover;114;4WD (Sürekli);Siyah;975.000
Opel;Grandland;2022;59.000;Crossover;130;Önden Çekiş;Kırmızı;1.550.000
Skoda;Kamiq;2023;13.000;Crossover;150;Önden Çekiş;Gri (metalik);1.690.000
Volkswagen;Tiguan;2022;42.500;Crossover;150;Önden Çekiş;Kahverengi;1.985.000
Volvo;XC60;2024;10.500;Crossover;455;4WD (Sürekli);Siyah;5.210.000
Renault;Captur;2017;187.000;Crossover;90;Önden Çekiş;Turuncu;900.000
Fiat;Egea Cross;2023;14.500;Crossover;95;Önden Çekiş;Beyaz;899.000
Hyundai;Santa Fe;2006;281.000;Crossover;126;4WD (Sürekli);Gri (Gümüş);525.000
Nissan;Qashqai;2012;214.000;Crossover;106;Önden Çekiş;Gri (metalik);710.000
Fiat;Egea Cross;2023;47.000;Crossover;95;Önden Çekiş;Füme;880.000
Hyundai;Santa Fe;2013;284.400;Crossover;184;4WD (Sürekli);Gri (metalik);975.000
Skoda;Kamiq;2023;6.001;Crossover;110;Önden Çekiş;Gri;1.420.000
Jeep;Renegade;2022;19.000;Crossover;150;Önden Çekiş;Füme;1.510.000
DS Automobiles;DS7 Crossback;2018;82.000;Crossover;225;Önden Çekiş;Turuncu;1.750.000
Skoda;Karoq;2023;20.000;Crossover;150;Önden Çekiş;Gri;2.100.000
Peugeot;408;2024;6.500;Crossover;132;Önden Çekiş;Gri;1.630.000
Citroen;C3 Aircross;2020;87.000;Crossover;122;Önden Çekiş;Bej;1.750.000
Seat;Ateca;2019;105.000;Crossover;115;Önden Çekiş;Gri (metalik);1.500.000
Chery;Tiggo 7 Pro;2024;6.500;Crossover;185;Önden Çekiş;Siyah;1.475.000
Renault;Austral;2024;7.000;Crossover;160;Önden Çekiş;Gri (metalik);1.950.000
Chery;Tiggo 8 Pro;2023;32.500;Crossover;185;Önden Çekiş;Gri (Gümüş);1.600.000
Nissan;Qashqai;2020;51.500;Crossover;160;Önden Çekiş;Beyaz;1.315.000
Fiat;Egea Cross;2024;6.500;Crossover;130;Önden Çekiş;Gri;1.450.000
Volkswagen;Taigo;2023;6.100;Crossover;110;Önden Çekiş;Mavi (metalik);1.575.000
Peugeot;3008;2017;136.500;Crossover;122;Önden Çekiş;Beyaz;1.255.000
Hyundai;Tucson;2021;165.000;Crossover;180;Önden Çekiş;Bordo;1.555.000
Hyundai;Tucson;2015;26.000;Crossover;177;4WD (Sürekli);Bej;1.500.000
Kia;Stonic;2021;29.060;Crossover;100;Önden Çekiş;Kırmızı;1.030.000
Chery;Tiggo 7 Pro;2023;8.500;Crossover;185;Önden Çekiş;Gri;1.450.000
Opel;Crossland X;2017;75.000;Crossover;110;Önden Çekiş;Beyaz;900.000
